ds,yhat,yhat_lower,yhat_upper
2022-01-01,28593.52906597091,5419.706404589688,52749.971025514475
2022-01-02,27458.431051057876,4451.966884510372,50074.606114426046
2022-01-03,28291.460549587388,6363.892319501365,52259.8170759166
2022-01-04,26694.32264914758,2609.3497798486987,49210.58498228912
2022-01-05,27299.563706689143,2437.579726587291,49898.0590089283
2022-01-06,26827.541238723115,2941.615372226885,49186.410292484405
2022-01-07,30109.834579935643,6911.0176808676315,53942.71734538333
2022-01-08,27821.54154684098,5054.976648461384,49863.22070274039
2022-01-09,27289.82154466989,5186.204129420986,51609.0289233575
2022-01-10,28707.206671503962,5675.21428361952,52112.92370578883
2022-01-11,27661.383081301017,5663.374833255311,49939.24441949892
2022-01-12,28771.71567494041,5942.392101075347,50703.0966128422
2022-01-13,28746.565683726967,4742.018318486386,52386.08714557016
2022-01-14,32407.018402592243,9143.028914024972,55951.056689021534
2022-01-15,30419.457422580355,7979.736475101306,53696.11509213735
2022-01-16,30104.337990282813,7636.583935095676,53567.31539393389
2022-01-17,31649.674539875723,8717.457242741064,53786.101975445636
2022-01-18,30640.939640407487,7266.872038503199,54427.131733890325
2022-01-19,31697.64404420782,9961.02284506691,53435.88923026455
2022-01-20,31530.64575267185,8523.530641854908,55068.14759604628
2022-01-21,34965.80549314177,13151.292975541828,57507.43807242964
2022-01-22,32676.426877170485,10146.26216777035,54625.82239504921
2022-01-23,31991.837520588466,9724.075735141463,54874.91675382869
2022-01-24,33110.631454533126,9784.792220496774,56932.74250574779
2022-01-25,31630.276836799087,9635.819152454564,54460.704857092365
2022-01-26,32183.36670889277,8629.239205033962,55124.20671215554
2022-01-27,31494.56983951908,7679.330394605262,54319.03794991028
2022-01-28,34403.9089816148,11744.121177377967,55647.12378854488
2022-01-29,31598.815273056727,8447.221273639318,52686.73741105572
2022-01-30,30422.32575359865,7519.987922390104,53926.28739770749
2022-01-31,31085.954948504506,7704.998949905501,54047.56494564746
2022-02-01,29198.954779641495,4665.4976531279235,52058.24920088497
2022-02-02,29404.250140516677,7740.964047175025,53510.83752891488
2022-02-03,28435.11583793071,4825.32348176867,50840.98687786532
2022-02-04,31138.229715458063,6808.271043933517,55348.944048991674
2022-02-05,28205.556794437845,5538.988362141753,51224.18411106664
2022-02-06,26982.43595683187,5107.265700319911,51538.3639150032
2022-02-07,27680.40299483252,4711.968519959365,50402.47765182453
2022-02-08,25906.465403912905,3656.9774791999275,47756.36632287196
2022-02-09,26299.11559089479,3169.885416078808,50495.80169035675
2022-02-10,25585.145772771808,3286.6542504193176,49556.537556451214
2022-02-11,28602.895269000837,4846.944333458629,50544.45664634334
2022-02-12,26034.37934520312,1784.5773400631135,46886.34541281856
2022-02-13,25213.664056377875,2134.511202573759,47912.71520640826
2022-02-14,26340.01264311446,4275.75620660446,49201.64678725421
2022-02-15,25007.50963346829,1493.7904721812433,46407.53658188561
2022-02-16,25841.439405177985,3267.296435664711,47961.56889973558
2022-02-17,25555.472163706607,2515.578972196954,48449.396655575874
2022-02-18,28975.277606254534,6463.509267705096,51010.45279488948
2022-02-19,26771.0051833056,3060.777217355562,50798.786331104835
2022-02-20,26265.985635413712,2171.8435827474004,48596.08117097303
2022-02-21,27650.17034003799,4429.3428527526185,50834.39137206761
2022-02-22,26510.006607431376,3775.5501295339054,49106.73025469048
2022-02-23,27465.018894091936,5051.115110952357,50205.754865237
2022-02-24,27225.143518667403,3320.8693145170955,51740.773754017326
2022-02-25,30614.433339931493,7785.01291671584,52394.941684674166
2022-02-26,28303.5691590385,2963.24374531942,51965.226180453414
2022-02-27,27618.532086906405,4958.602250314914,49763.291861853984
2022-02-28,28753.95469064439,7574.665375254037,51554.637658759726
2022-03-01,27302.8520046967,4347.634784685757,49656.0449421905
2022-03-02,27893.006897734,2670.5946563289504,50676.23627258311
2022-03-03,27244.063335559233,4541.306293727933,49773.636643198755
2022-03-04,30190.95121156115,7494.412292344151,53269.487602600784
2022-03-05,27416.087757504894,5317.964376039676,51873.210341090664
2022-03-06,26257.718822775463,3953.0496973313175,49293.17227646796
2022-03-07,26922.927412789395,4654.339281659953,51520.55589759824
2022-03-08,25017.02040078939,1076.0420803083255,46836.29084440286
2022-03-09,25179.577698258137,2710.282606079802,47589.52491440208
