budget_id,store_id,year,month,month_name,revenue_target,profit_target
1,1,2022,1,January,300546.13,60109.23
2,1,2022,2,February,290811.35,58162.27
3,1,2022,3,March,280030.74,56006.15
4,1,2022,4,April,256128.44,51225.69
5,1,2022,5,May,115967.49,23193.5
6,1,2022,6,June,245661.13,49132.23
7,1,2022,7,July,191825.93,38365.19
8,1,2022,8,August,235140.67,47028.13
9,1,2022,9,September,357377.7,71475.54
10,1,2022,10,October,357845.24,71569.05
11,1,2022,11,November,217261.96,43452.39
12,1,2022,12,December,273939.4,54787.88
13,1,2023,1,January,281506.67,56301.33
14,1,2023,2,February,314097.05,62819.41
15,1,2023,3,March,75983.81,15196.76
16,1,2023,4,April,249301.68,49860.34
17,1,2023,5,May,92667.78,18533.56
18,1,2023,6,June,158373.2,31674.64
19,1,2023,7,July,128942.66,25788.53
20,1,2023,8,August,275583.6,55116.72
21,1,2023,9,September,328611.5,65722.3
22,1,2023,10,October,315729.23,63145.85
23,1,2023,11,November,289051.18,57810.24
24,1,2023,12,December,309942.39,61988.48
25,1,2024,1,January,216345.07,43269.01
26,1,2024,2,February,146567.37,29313.47
27,1,2024,3,March,277562.07,55512.41
28,1,2024,4,April,226460.91,45292.18
29,1,2024,5,May,146434.03,29286.81
30,1,2024,6,June,215732.17,43146.43
31,1,2024,7,July,79727.86,15945.57
32,1,2024,8,August,214363.23,42872.65
33,1,2024,9,September,233253.08,46650.62
34,1,2024,10,October,232292.35,46458.47
35,1,2024,11,November,121639.25,24327.85
36,1,2024,12,December,426826.78,85365.36
37,2,2022,1,January,257764.43,51552.89
38,2,2022,2,February,345969.93,69193.99
39,2,2022,3,March,292878.79,58575.76
40,2,2022,4,April,221582.13,44316.43
41,2,2022,5,May,320690.93,64138.19
42,2,2022,6,June,170966.23,34193.25
43,2,2022,7,July,225492.07,45098.41
44,2,2022,8,August,324056.7,64811.34
45,2,2022,9,September,119982.81,23996.56
46,2,2022,10,October,310150.83,62030.17
47,2,2022,11,November,330918.9,66183.78
48,2,2022,12,December,401397.27,80279.45
49,2,2023,1,January,145428.08,29085.62
50,2,2023,2,February,193348.26,38669.65
51,2,2023,3,March,108994.06,21798.81
52,2,2023,4,April,274080.78,54816.16
53,2,2023,5,May,190544.73,38108.95
54,2,2023,6,June,282108.46,56421.69
55,2,2023,7,July,287495.08,57499.02
56,2,2023,8,August,203396.24,40679.25
57,2,2023,9,September,164780.72,32956.14
58,2,2023,10,October,368200.41,73640.08
59,2,2023,11,November,243176.74,48635.35
60,2,2023,12,December,112282.43,22456.49
61,2,2024,1,January,256314.96,51262.99
62,2,2024,2,February,354722.64,70944.53
63,2,2024,3,March,286316.3,57263.26
64,2,2024,4,April,165645.24,33129.05
65,2,2024,5,May,178460.35,35692.07
66,2,2024,6,June,192325.09,38465.02
67,2,2024,7,July,176916.38,35383.28
68,2,2024,8,August,135733.67,27146.73
69,2,2024,9,September,134079.83,26815.97
70,2,2024,10,October,368840.44,73768.09
71,2,2024,11,November,139119.99,27824.0
72,2,2024,12,December,354443.81,70888.76
73,3,2022,1,January,288256.5,57651.3
74,3,2022,2,February,187339.53,37467.91
75,3,2022,3,March,226737.08,45347.42
76,3,2022,4,April,159928.6,31985.72
77,3,2022,5,May,171488.42,34297.68
78,3,2022,6,June,189891.27,37978.25
79,3,2022,7,July,288352.51,57670.5
80,3,2022,8,August,207815.44,41563.09
81,3,2022,9,September,120933.32,24186.66
82,3,2022,10,October,352257.46,70451.49
83,3,2022,11,November,367055.79,73411.16
84,3,2022,12,December,121216.7,24243.34
85,3,2023,1,January,194243.6,38848.72
86,3,2023,2,February,322071.4,64414.28
87,3,2023,3,March,225527.0,45105.4
88,3,2023,4,April,138722.73,27744.55
89,3,2023,5,May,145832.93,29166.59
90,3,2023,6,June,268274.89,53654.98
91,3,2023,7,July,133245.17,26649.03
92,3,2023,8,August,199677.05,39935.41
93,3,2023,9,September,301666.26,60333.25
94,3,2023,10,October,153854.61,30770.92
95,3,2023,11,November,383042.6,76608.52
96,3,2023,12,December,182343.84,36468.77
97,3,2024,1,January,224216.15,44843.23
98,3,2024,2,February,335282.57,67056.51
99,3,2024,3,March,171133.45,34226.69
100,3,2024,4,April,66083.7,13216.74
101,3,2024,5,May,256431.48,51286.3
102,3,2024,6,June,168713.16,33742.63
103,3,2024,7,July,246404.89,49280.98
104,3,2024,8,August,134284.47,26856.89
105,3,2024,9,September,271906.57,54381.31
106,3,2024,10,October,344512.01,68902.4
107,3,2024,11,November,188668.77,37733.75
108,3,2024,12,December,179065.62,35813.12
109,4,2022,1,January,177002.41,35400.48
110,4,2022,2,February,241101.85,48220.37
111,4,2022,3,March,294582.47,58916.49
112,4,2022,4,April,117331.74,23466.35
113,4,2022,5,May,120607.27,24121.45
114,4,2022,6,June,227258.18,45451.64
115,4,2022,7,July,95565.89,19113.18
116,4,2022,8,August,196936.02,39387.2
117,4,2022,9,September,98895.82,19779.16
118,4,2022,10,October,154509.1,30901.82
119,4,2022,11,November,266130.99,53226.2
120,4,2022,12,December,135581.35,27116.27
121,4,2023,1,January,327095.78,65419.16
122,4,2023,2,February,118641.49,23728.3
123,4,2023,3,March,166954.51,33390.9
124,4,2023,4,April,238936.95,47787.39
125,4,2023,5,May,298622.14,59724.43
126,4,2023,6,June,215423.81,43084.76
127,4,2023,7,July,213950.38,42790.08
128,4,2023,8,August,256600.56,51320.11
129,4,2023,9,September,364100.94,72820.19
130,4,2023,10,October,198673.42,39734.68
131,4,2023,11,November,180389.61,36077.92
132,4,2023,12,December,208992.91,41798.58
133,4,2024,1,January,186960.36,37392.07
134,4,2024,2,February,302972.04,60594.41
135,4,2024,3,March,227550.42,45510.08
136,4,2024,4,April,80804.13,16160.83
137,4,2024,5,May,305336.59,61067.32
138,4,2024,6,June,149058.31,29811.66
139,4,2024,7,July,268581.84,53716.37
140,4,2024,8,August,270404.62,54080.92
141,4,2024,9,September,166070.96,33214.19
142,4,2024,10,October,111282.09,22256.42
143,4,2024,11,November,215266.96,43053.39
144,4,2024,12,December,427974.17,85594.83
145,5,2022,1,January,225783.9,45156.78
