activity_id,customer_id,date_id,last_purchase_date,purchase_frequency,total_spend,days_since_last_purchase,is_churned
1,1,248,2022-07-26,2,10618.78,889,False
2,1,153,2021-12-14,1,939.84,1113,False
3,1,222,2022-06-26,10,12991.49,919,False
4,1,1080,2024-10-29,5,8080.35,63,False
5,1,886,2024-05-10,4,10419.36,235,False
6,1,199,2022-07-17,4,13299.71,898,False
7,2,54,2021-10-29,8,13082.74,1159,False
8,2,176,2022-06-10,10,1837.44,935,False
9,2,119,2021-11-04,5,10910.19,1153,False
10,2,471,2022-12-06,8,9313.04,756,False
11,2,772,2023-12-15,9,10032.31,382,False
12,2,660,2023-08-19,6,11023.63,500,False
13,2,801,2023-10-23,2,9488.26,435,False
14,2,787,2024-01-12,4,13427.75,354,False
15,2,97,2022-04-04,4,13076.24,1002,False
16,2,478,2023-01-12,4,7250.5,719,False
17,2,705,2023-08-05,1,8012.9,514,False
18,3,131,2021-11-14,18,67162.83,1143,False
19,3,26,2021-10-01,16,70870.56,1187,False
20,3,464,2023-02-13,14,44482.39,687,False
21,3,841,2024-04-03,10,56955.66,272,False
22,3,621,2023-06-03,9,72615.59,577,False
23,3,728,2023-09-26,15,31290.41,462,False
24,3,455,2023-03-13,2,71779.04,659,False
25,3,279,2022-06-22,14,76614.73,923,False
26,3,909,2024-04-08,6,40579.84,267,False
27,3,911,2024-06-10,9,44253.83,204,False
28,3,129,2022-03-24,12,31227.48,1013,False
29,3,201,2022-01-27,13,30882.24,1069,False
30,3,1015,2024-05-18,9,25669.47,227,False
31,3,516,2023-05-28,3,55018.22,583,False
32,3,684,2023-06-26,14,66420.65,554,False
33,3,855,2023-12-21,10,74419.13,376,False
34,4,911,2024-05-19,6,4213.74,226,False
35,4,347,2022-07-30,4,12675.98,885,False
36,4,306,2022-08-23,1,12291.71,861,False
37,4,284,2022-08-23,1,14653.47,861,False
38,4,150,2022-04-25,3,13277.96,981,False
39,5,578,2023-06-12,4,405.02,568,True
40,5,641,2023-09-23,1,238.41,465,True
41,5,506,2022-12-25,3,436.81,737,True
42,5,268,2022-04-05,1,279.0,1001,True
43,5,620,2023-09-01,1,1381.35,487,True
44,6,533,2023-01-08,4,47547.32,723,False
45,6,1044,2024-09-18,5,27180.7,104,False
46,6,758,2024-01-03,4,5456.73,363,False
47,6,874,2023-11-25,15,7313.52,402,False
48,6,363,2022-10-14,20,9793.23,809,False
49,6,849,2023-12-02,20,21744.61,395,False
50,6,612,2023-05-09,18,62559.7,602,False
51,6,949,2024-04-21,5,50603.97,254,False
52,6,967,2024-06-15,13,38070.93,199,False
53,6,428,2023-03-03,15,16017.5,669,False
54,6,995,2024-05-02,6,10496.85,243,False
