sale_id,date_id,product_id,store_id,customer_id,revenue,cost,profit,quantity,discount,returns
1,878,29,10,26,165.0,123.66,41.34,3,0.0,0
2,1011,3,1,8,1270.75,739.57,531.18,2,0.15,0
3,131,13,7,39,540.0,324.15,215.85,4,0.1,0
4,24,22,2,44,123.2,74.33,48.87,5,0.2,0
5,229,10,7,11,1064.0,788.17,275.83,4,0.0,0
6,540,17,3,33,288.8,194.96,93.84,1,0.2,0
7,1040,20,4,10,1296.0,754.67,541.33,3,0.2,1
8,1087,30,1,39,461.7,255.73,205.97,3,0.05,1
9,630,8,1,16,4895.0,2776.1,2118.9,5,0.0,0
10,142,25,9,50,70.0,47.74,22.26,2,0.0,1
11,339,9,9,39,1728.0,1271.43,456.57,4,0.0,0
12,412,23,5,26,254.36,185.66,68.7,3,0.05,0
13,508,8,2,22,801.0,529.29,271.71,1,0.1,0
14,15,3,1,15,715.0,516.18,198.82,1,0.0,0
15,488,9,8,14,1600.0,1111.47,488.53,5,0.0,1
16,969,8,8,27,1691.0,962.83,728.17,2,0.0,0
17,868,14,8,47,80.75,54.97,25.78,1,0.15,0
18,125,13,6,7,300.0,176.41,123.59,2,0.0,0
19,865,6,5,30,768.0,564.21,203.79,2,0.2,0
20,201,2,9,1,2016.0,1450.99,565.01,1,0.2,0
21,995,16,4,26,1540.0,963.72,576.28,1,0.0,1
22,544,30,8,19,387.6,287.39,100.21,4,0.15,1
23,997,5,4,19,7700.0,5126.94,2573.06,2,0.0,0
24,643,2,1,38,11592.0,8507.11,3084.89,4,0.1,0
25,117,17,2,12,191.52,107.94,83.58,1,0.1,0
26,827,4,10,16,2772.0,1546.63,1225.37,5,0.1,0
27,1071,11,5,14,7290.0,4396.77,2893.23,3,0.0,0
28,615,15,6,49,2420.0,1552.81,867.19,1,0.0,1
29,205,3,9,14,2925.0,1686.24,1238.76,5,0.0,0
30,141,29,4,24,165.0,105.21,59.79,3,0.0,0
31,620,20,9,1,2475.0,1822.47,652.53,5,0.0,0
32,276,9,2,7,1840.0,1112.22,727.78,5,0.0,0
33,703,7,5,33,28080.0,20528.37,7551.63,4,0.0,0
34,190,21,7,18,40.5,24.98,15.52,1,0.0,0
35,537,6,8,36,1641.6,906.05,735.55,4,0.1,0
36,306,18,1,24,3510.0,2034.46,1475.54,5,0.1,0
37,632,12,1,23,12155.0,7291.86,4863.14,2,0.15,0
38,833,20,3,16,576.0,410.2,165.8,2,0.2,1
39,51,6,6,27,1008.0,586.49,421.51,2,0.0,0
40,784,28,1,31,79.8,56.92,22.88,2,0.0,0
41,626,27,4,15,60.78,35.78,25.0,1,0.15,0
42,143,25,5,23,166.25,114.03,52.22,5,0.05,0
43,679,1,2,17,2592.0,1924.58,667.42,2,0.1,0
44,223,20,7,23,1218.38,817.83,400.55,3,0.05,0
45,789,29,10,13,173.25,119.85,53.4,3,0.0,0
46,404,12,7,5,18427.5,11292.06,7135.44,3,0.1,0
47,616,17,5,43,1672.0,1054.16,617.84,4,0.0,0
48,261,7,7,43,19448.0,13606.34,5841.66,4,0.15,0
49,617,13,9,1,495.0,293.06,201.94,3,0.0,0
50,660,15,8,29,4554.0,2935.68,1618.32,2,0.1,1
51,348,22,2,19,160.65,108.69,51.96,5,0.15,0
52,482,22,5,15,44.8,24.86,19.94,2,0.0,0
53,974,20,2,30,1453.5,966.77,486.73,4,0.15,0
54,787,16,7,16,2499.0,1718.12,780.88,2,0.15,1
55,219,25,7,15,53.2,39.45,13.75,2,0.2,0
56,103,18,4,8,1456.0,1034.17,421.83,4,0.0,0
57,650,25,8,40,191.19,136.91,54.28,5,0.05,0
58,326,24,8,29,1209.6,725.09,484.51,3,0.2,0
59,1068,16,4,18,7560.0,5236.88,2323.12,4,0.0,0
60,688,11,9,6,4320.0,2575.81,1744.19,2,0.0,0
61,439,3,7,27,1491.75,959.47,532.28,3,0.1,0
62,861,13,10,45,120.0,87.14,32.86,1,0.2,0
63,977,1,6,20,4224.0,3076.46,1147.54,4,0.2,0
64,452,16,4,18,3165.4,1759.35,1406.05,4,0.05,0
65,829,24,3,30,423.36,278.07,145.29,2,0.1,1
66,56,3,7,9,2730.0,1528.96,1201.04,4,0.0,0
67,434,15,6,22,7480.0,5239.01,2240.99,4,0.0,0
68,517,27,2,31,52.49,34.53,17.96,1,0.15,1
69,717,8,2,50,961.2,534.63,426.57,1,0.2,0
70,42,20,3,16,897.75,613.96,283.79,2,0.05,0
71,447,15,5,50,3927.0,2635.72,1291.28,3,0.0,1
72,235,25,3,20,29.92,16.61,13.31,1,0.1,0
73,769,13,4,5,669.38,479.35,190.03,5,0.15,0
74,618,28,10,8,167.2,93.33,73.87,5,0.2,0
75,759,3,9,42,2145.0,1544.22,600.78,3,0.0,0
76,217,14,6,41,306.85,178.16,128.69,4,0.15,0
77,1069,21,5,40,243.0,157.15,85.85,5,0.2,0
78,550,11,4,6,4617.0,2764.53,1852.47,3,0.05,0
79,777,11,1,32,5670.0,3671.38,1998.62,3,0.0,0
80,530,11,5,39,4617.0,2548.72,2068.28,3,0.1,1
